side,n_factories,gamma,delta_e,n_repetitions,oracle_depth,t_tot_hr,t_max_hr,footprint
20,1,1e-08,0.01,11,286946,403.21577049111113,36.655979135555555,2676854
20,1,1.389495494373136e-08,0.01,11,279509,392.76532391250004,35.7059385375,2669686
20,1,1.9306977288832496e-08,0.01,12,271938,416.8653610933333,34.73878009111111,2669686
20,1,2.682695795279727e-08,0.01,12,264235,405.0571114333333,33.75475928611111,2669686
20,1,3.7275937203149377e-08,0.01,13,256391,425.7854037955555,32.75272336888889,2659186
20,1,5.1794746792312124e-08,0.01,14,248423,444.2879014311111,31.73485010222222,2659186
20,1,7.196856730011513e-08,0.01,15,240323,460.50171715833335,30.700114477222222,2352642
20,1,1e-07,0.01,16,232109,474.4130545022222,29.65081590638889,2345986
20,1,1.389495494373136e-07,0.01,18,223789,455.77402296500003,25.320779053611112,2641266
20,1,1.9306977288832497e-07,0.01,19,215393,463.0453482580556,24.370807803055555,2328066
20,1,2.6826957952797275e-07,0.01,21,206921,491.65698707416664,23.412237479722222,2321410
20,1,3.727593720314938e-07,0.01,23,198425,516.3718881736111,22.45095165972222,2321410
20,1,5.179474679231202e-07,0.01,26,189921,558.7077775283333,21.488760674166667,2315266
20,1,7.196856730011514e-07,0.01,29,181463,595.4214573261111,20.531774390555555,2035746
20,1,1e-06,0.01,33,173090,646.2853811975,19.584405490833333,2022946
